,edit_history_tweet_ids,id,text,withheld
89,['1602798748610035713'],1602798748610035713,"RT @HTXTEvents: Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5…",
90,['1602794881650331648'],1602794881650331648,Somisomi https://t.co/RW0q7UdUsG,
91,['1602793506522955776'],1602793506522955776,@Ell_somisomi おはです☀️,
92,['1602684437833011200'],1602684437833011200,@Ell_somisomi さいこうだぁ！！！！😂💖,
93,['1602647139032924160'],1602647139032924160,"@Ell_somisomi そみかちゃん当たったんだよね？？🥺
けど部が違うのか〜😭😭会いたい🥺",
94,['1602484664299814913'],1602484664299814913,"RT @HTXTEvents: Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5…",
95,['1602443326556631041'],1602443326556631041,"RT @HTXTEvents: Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5…",
96,['1602434007819591682'],1602434007819591682,"RT @HTXTEvents: Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5…",
97,['1602406859880943616'],1602406859880943616,"RT @HTXTEvents: Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5…",
98,['1602402424806932480'],1602402424806932480,"RT @HTXTEvents: Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5…",
99,['1602398533495185408'],1602398533495185408,"RT @HTXTEvents: Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5…",
100,['1602394839760371739'],1602394839760371739,"RT @HTXTEvents: Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5…",
101,['1602394743454957601'],1602394743454957601,"Attention Solomons! We are back with a mystery✨

Come solve 🗂️CASE205: Who Stole MOA’s Heart with Detective Tyun 🕵🏻

🗓️ 2/5/23
🕰️ 12pm - 4pm
📍 SomiSomi Katy 

Are you ready to investigate with us? 🧐🔍

The link to get your clearance level is in our bio go check it out 👣 https://t.co/appgk2iLJp",
102,['1602298217202188288'],1602298217202188288,"@Ell_somisomi そみかって呼びたい〜！！！
かえとかかえちゃんって呼ばれることが多いかな❕🌟",
103,['1602210341047635968'],1602210341047635968,@moonareas somisomi,
104,['1602107942416760837'],1602107942416760837,@WEIYlNG shoulda come w me to 99 i got ramens and somisomi ☹️,
105,['1602072700918599681'],1602072700918599681,@Ell_somisomi @sasaki_maika おはです☀️,
106,['1602025146453086208'],1602025146453086208,"also it was so funny to watch normal customers at somisomi just staring at the ni-ki pictures outside while waiting for their orders 😂 p sure i overheard someone saying he reminded them of ""that one actor from squid game"" lmaooo the ni-ki &amp; jung hoyeon twin agenda continues",
107,['1601878121149784064'],1601878121149784064,"@Ell_somisomi 私も呼びタメ大歓迎ですのでぜひ仲良くしてください♡
早速ですがなんとお呼びしたらいいですか?",
108,['1601820164735262720'],1601820164735262720,@marieee_babieee omg is somisomi good i wanted to try it,
109,['1601670444201152512'],1601670444201152512,"RT @IdolDaysinCA: This weekend's events (SoCal, thread) 

#ChristmasEvel
@reeeiner #PolaroidLove

Ni-Ki event Sat 12/10 at SomiSomi Koreato…",
110,['1601654471385235456'],1601654471385235456,no fish inside. Somisomi seasonal flavor is hotteok! 😍😋 https://t.co/PWb6U2LAxv,
111,['1601484668133863424'],1601484668133863424,"RT @IdolDaysinCA: This weekend's events (SoCal, thread) 

#ChristmasEvel
@reeeiner #PolaroidLove

Ni-Ki event Sat 12/10 at SomiSomi Koreato…",
112,['1601466835357995008'],1601466835357995008,"This weekend's events (SoCal, thread) 

#ChristmasEvel
@reeeiner #PolaroidLove

Ni-Ki event Sat 12/10 at SomiSomi Koreatown, Los Angeles https://t.co/xBX8fxVNjL",
113,['1601421040458301440'],1601421040458301440,somisomi ain’t never failed me,
114,['1601382139404386304'],1601382139404386304,@somisomi_R 감사함미다 ☺,
115,['1601371125136920577'],1601371125136920577,@somisomi_R 죄송해요 ㅠㅠ,
116,['1601214285287657472'],1601214285287657472,"@Ell_somisomi 
タグ反応ありがとうございます🦑
もし良かったら繋がりませんか〜❔",
117,['1601205097484062721'],1601205097484062721,@Ell_somisomi こちらこそです！よろしくお願いします( ᵒ̴̶̷̤ ᵒ̴̶̷̤ ),
118,['1600984681893494785'],1600984681893494785,@Ell_somisomi @sasaki_maika おはです☀️,
119,['1600748666817368064'],1600748666817368064,@somisomi_R 으앗 그렇군요ㅋㅋㅋ,
120,['1600738602132344833'],1600738602132344833,@somisomi_R 저 이거 보자마자 기절했잖아요😆💜,
121,['1600679376479457280'],1600679376479457280,"RT @PapaCristos: 💥Papa Cristo’s! It’s what’s for lunch! Stop in Wed-Fri between 11am and 3pm to enjoy our Lunch Special!🥤🌯🍟💥
.
2771 W. Pico…",
122,['1600674786706747392'],1600674786706747392,"RT @PapaCristos: 💥Papa Cristo’s! It’s what’s for lunch! Stop in Wed-Fri between 11am and 3pm to enjoy our Lunch Special!🥤🌯🍟💥
.
2771 W. Pico…",
123,['1602749393752379394'],1602749393752379394,@ariellec https://t.co/ChOyBc34Cp,
124,['1602437920773836802'],1602437920773836802,I want some vegan donuts from Donut Friend!!!,
125,['1602340940751859728'],1602340940751859728,@ariellec Welcome to Los Angeles! There’s a Donut Friend on my morning commute 😋 🍩,
126,['1602085586591809536'],1602085586591809536,@RHuffmann Creamo… side project of Donut Friend I guess it’s more focused on ice cream inside,
